map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
hooks,31,31,961,797,with_roads,58,greedy,0,23.6,52.9,108.7,25.7,24,1.4773,2.4388,4.8837,0
hourglass,27,45,1215,1011,no_roads,0,dial_exact,0,103.6,205.8,221.7,100.8,140,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,no_roads,0,astar_w1,1,100.1,243.4,292.2,104.7,119,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,no_roads,0,astar_w3,3,61.5,190.3,216.3,73.8,80,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,no_roads,0,astar_w5,5,28.0,115.8,130.1,35.7,31,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,no_roads,0,astar_w_avg,5,24.4,106.7,124.2,35.2,31,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,no_roads,0,astar_w_min,5,24.4,114.5,126.9,37.4,31,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,no_roads,0,greedy,0,12.8,27.0,45.4,14.6,10,1.0497,1.142,1.2832,0
hourglass,27,45,1215,1011,with_roads,11,dial_exact,0,95.2,201.9,215.1,99.8,140,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,with_roads,11,astar_w1,1,82.4,244.4,283.1,99.6,113,1.0,1.0,1.0,0
